order_id,item_id,item_name,price,ordered_at
1001,1,Classic Burger,10.00,2025-02-28 15:50:00
1001,6,Soda,3.00,2025-02-28 15:50:00
1002,5,Veggie Burger,11.00,2025-01-10 18:54:00
1002,6,Soda,3.00,2025-01-10 18:54:00
1003,1,Classic Burger,10.00,2025-01-04 04:05:00
1003,2,Truffle Fries,6.00,2025-01-04 04:05:00
1004,5,Veggie Burger,11.00,2025-03-07 15:10:00
1004,6,Soda,3.00,2025-03-07 15:10:00
1005,6,Soda,3.00,2025-03-16 03:13:00
1006,6,Soda,3.00,2025-01-15 23:46:00
1007,1,Classic Burger,10.00,2025-01-15 14:39:00
1007,6,Soda,3.00,2025-01-15 14:39:00
1008,6,Soda,3.00,2025-02-03 03:12:00
1009,1,Classic Burger,10.00,2025-03-15 22:11:00
1009,2,Truffle Fries,6.00,2025-03-15 22:11:00
1009,6,Soda,3.00,2025-03-15 22:11:00
1010,4,Onion Rings,5.00,2025-01-08 15:08:00
1011,6,Soda,3.00,2025-02-26 18:10:00
1012,2,Truffle Fries,6.00,2025-01-18 23:03:00
1012,6,Soda,3.00,2025-01-18 23:03:00
1013,1,Classic Burger,10.00,2025-03-12 19:47:00
1013,2,Truffle Fries,6.00,2025-03-12 19:47:00
1013,6,Soda,3.00,2025-03-12 19:47:00
1014,2,Truffle Fries,6.00,2025-01-26 18:14:00
1015,2,Truffle Fries,6.00,2025-01-16 06:19:00
1016,6,Soda,3.00,2025-01-25 18:13:00
1017,5,Veggie Burger,11.00,2025-01-07 22:58:00
1017,7,Milkshake,7.00,2025-01-07 22:58:00
1018,1,Classic Burger,10.00,2025-02-04 23:55:00
1019,6,Soda,3.00,2025-01-30 23:24:00
1020,6,Soda,3.00,2025-01-22 07:21:00
1021,1,Classic Burger,10.00,2025-02-06 23:21:00
1021,2,Truffle Fries,6.00,2025-02-06 23:21:00
1022,1,Classic Burger,10.00,2025-01-30 02:25:00
1022,2,Truffle Fries,6.00,2025-01-30 02:25:00
1023,1,Classic Burger,10.00,2025-01-14 11:06:00
1023,2,Truffle Fries,6.00,2025-01-14 11:06:00
